year,avg_population,live_births,deaths,natural_change,crude_birth_rate,crude_death_rate,natural_change_per_1000,crude_migration_change,total_fertility_rate
1839,"15,514,255","492,574","338,984","153,590",31.74,21.85,9.89,4.7,4.93
1840,"15,730,813","502,303","359,687","142,616",31.93,22.86,9.07,4.7,4.85
1841,"15,929,492","512,158","343,847","168,311",32.15,21.59,10.56,1.9,4.89
1842,"16,130,326","517,739","349,519","168,220",32.11,21.67,10.44,2,4.83
1843,"16,332,228","527,325","346,445","180,880",32.26,21.21,11.05,1.3,4.82
1844,"16,535,174","540,763","356,933","183,830",32.70,21.59,11.11,1.2,4.83
1845,"16,739,136","543,521","349,366","194,155",32.47,20.87,11.60,0.6,4.82
1846,"16,944,092","572,625","390,315","182,310",33.79,23.03,10.76,1.3,4.90
1847,"17,150,018","539,965","423,304","116,661",31.48,24.68,6.80,5.2,4.58
1848,"17,356,882","563,059","399,833","163,226",32.44,23.04,9.40,2.5,4.71
1849,"17,564,656","578,159","440,839","137,320",32.92,25.10,7.82,4,4.78
1850,"17,773,324","593,422","368,995","224,427",33.40,20.76,12.64,−0.9,4.76
1851,"17,982,849","615,865","395,396","220,469",34.26,21.99,12.27,−0.6,4.94
1852,"18,193,206","624,012","407,135","216,877",34.30,22.38,11.92,−0.4,4.94
1853,"18,404,368","612,391","421,097","191,294",33.27,22.88,10.39,1.1,4.78
1854,"18,616,310","634,405","437,905","196,500",34.08,23.52,10.56,0.8,4.89
1855,"18,829,000","635,043","425,703","209,340",33.73,22.61,11.12,0.2,4.88
1856,"19,043,412","657,453","390,506","266,947",34.54,20.51,14.03,−2.8,4.94
1857,"19,256,516","663,071","419,815","243,256",34.44,21.80,12.64,−1.6,4.90
1858,"19,471,291","655,481","449,656","205,825",33.66,23.09,10.57,0.5,4.79
1859,"19,686,701","689,881","440,781","249,100",35.04,22.39,12.65,−1.7,4.97
1860,"19,902,713","684,048","422,721","261,327",34.38,21.24,13.14,−2.3,4.89
